show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,plataforma,id,duration_int,duration_type
s1,movie,the grand seduction,don mckellar,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2021-03-30,2014,g,113 min,"comedy, drama","a small fishing village must procure a local doctor to secure a lucrative business contract. when unlikely candidate and big city doctor paul lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. as the doctor's time in the village winds to a close, acting mayor murray french has no choice but to pull out all the stops.",amazon,as1,113,min
s2,movie,take care good night,girish joshi,"mahesh manjrekar, abhay mahajan, sachin khedekar",india,2021-03-30,2018,13+,110 min,"drama, international",a metro family decides to fight a cyber criminal threatening their stability and pride.,amazon,as2,110,min
s3,movie,secrets of deception,josh webber,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",united states,2021-03-30,2017,g,74 min,"action, drama, suspense",after a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,amazon,as3,74,min
s4,movie,pink: staying true,sonia anderson,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",united states,2021-03-30,2014,g,69 min,documentary,"pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",amazon,as4,69,min
s5,movie,monster maker,giles foster,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",united kingdom,2021-03-30,1989,g,45 min,"drama, fantasy","teenage matt banting wants to work with a famous but eccentric creature/special effects man named chancey bellows. he gets more than he bargained for when one of the creatures, the giant dragon-like ultragorgon, takes matt under his wing. matt is forced to confront his inner monsters while working out his issues with his father.",amazon,as5,45,min
s6,movie,living with dinosaurs,paul weiland,"gregory chisholm, juliet stevenson, brian henson, michael maloney",united kingdom,2021-03-30,1989,g,52 min,"fantasy, kids","the story unfolds in a an english seaside town, where dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. a stuffed toy dinosaur named dog is dom's only confidant – dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",amazon,as6,52,min
s7,movie,hired gun,fran strine,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",united states,2021-03-30,2017,g,98 min,"documentary, special interest","they are the ""first call, a-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. the 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",amazon,as7,98,min
s8,movie,grease live!,"thomas kail, alex rudzinski","julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",united states,2021-03-30,2016,g,131 min,comedy,"this honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",amazon,as8,131,min
s9,movie,global meltdown,daniel gilboy,"michael paré, leanne khol young, patrick j. maceachern",canada,2021-03-30,2017,g,87 min,"action, science fiction, suspense",a helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,amazon,as9,87,min
s10,movie,david's mother,robert allan ackerman,"kirstie alley, sam waterston, stockard channing",united states,2021-04-01,1994,g,92 min,drama,"sally goodson is a devoted mother to her autistic son david. abandoned by her husband, sally has managed to keep her son out of ""the system"", until a social worker comes along.",amazon,as10,92,min
